Team,Player,Transaction,Date
 Arizona,Matt Dickerson (DT),Added DT Matt Dickerson to the practice squad.,12/27/2021
 Arizona,Markus Golden (LB),Placed LB Markus Golden on IR/COVID-19 list.,12/27/2021
 Arizona,Sean Harlow (OL),Placed G Sean Harlow on IR/COVID-19 list.,12/27/2021
 Arizona,Rodney Hudson (OL),Activated C Rodney Hudson from the IR/COVID-19 list.,12/27/2021
 Arizona,Josh Mauro (DE),Reverted DB Josh Mauro to the practice squad.,12/27/2021
 Arizona,Kevin Peterson (CB),Reverted DB Kevin Peterson to the practice squad.,12/27/2021
 Arizona,Ryan Winslow (P),Reverted P Ryan Winslow to the practice squad.,12/27/2021
 Atlanta,Brandon Copeland (LB),Placed LB Brandon Copeland on IR/COVID-19 list.,12/27/2021
 Atlanta,Tyeler Davison (DL),Placed DT Tyeler Davison on IR/COVID-19 list.,12/27/2021
 Atlanta,Marvin Hall (WR),Reverted WR Marvin Hall to the practice squad.,12/27/2021
 Atlanta,Tajae Sharpe (WR),Placed WR Tajae Sharpe on IR/COVID-19 list.,12/27/2021
 Atlanta,James Vaughters (LB),Placed LB James Vaughters on IR/COVID-19 list.,12/27/2021
 Baltimore,Kenji Bahar (QB),Reverted QB Kenji Bahar to the practice squad.,12/27/2021
 Baltimore,Adrian Ealy (T),Removed T Adrian Ealy from the practice squad.,12/27/2021
 Baltimore,Robert Jackson (CB),Reverted DB Robert Jackson to the practice squad.,12/27/2021
 Baltimore,Tony Jefferson (DB),Reverted DB Tony Jefferson to the practice squad.,12/27/2021
 Baltimore,Jaryd Jones-Smith (G),Reverted T Jaryd Jones-Smith to the practice squad.,12/27/2021
 Baltimore,Isaiah Mack (NT),Reverted NT Isaiah Mack to the practice squad.,12/27/2021
 Baltimore,Reggie McKenzie (G),Reverted G Reggie McKenzie to the practice squad.,12/27/2021
 Baltimore,Pernell McPhee (LB),Activated LB Pernell McPhee from the IR/COVID-19 list.,12/27/2021
 Baltimore,Tony Poljan (TE),Reverted TE Tony Poljan to the practice squad.,12/27/2021
 Baltimore,Jordan Richards (S),Reverted DB Jordan Richards to the practice squad.,12/27/2021
 Baltimore,Jimmy Smith (CB),Activated DB Jimmy Smith from the IR/COVID-19 list.,12/27/2021
 Baltimore,Joe Thomas (LB),Reverted LB Joe Thomas to the practice squad.,12/27/2021
 Baltimore,Daryl Worley (DB),Reverted DB Daryl Worley to the practice squad.,12/27/2021
 Buffalo,Eli Ankou (DT),Reverted DT Eli Ankou to the practice squad.,12/27/2021
 Buffalo,Ike Boettger (G),Placed G Ike Boettger on IR.,12/27/2021
 Buffalo,Bobby Hart (T),Signed T Bobby Hart.,12/27/2021
 Buffalo,Bobby Hart (T),Reverted T Bobby Hart to the practice squad.,12/27/2021
 Buffalo,Isaiah Hodgins (WR),Reverted WR Isaiah Hodgins to the practice squad.,12/27/2021
 Buffalo,Cameron Lewis (DB),Placed DB Cameron Lewis on IR/COVID-19 list.,12/27/2021
 Buffalo,Breeland Speaks (DE),Removed DE Breeland Speaks from the practice squad.,12/27/2021
 Carolina,Matt Barkley (QB),Activated QB Matt Barkley from the IR/COVID-19 list.,12/27/2021
 Carolina,Reggie Bonnafon (RB),Reverted RB Reggie Bonnafon to the practice squad.,12/27/2021
 Carolina,Brian Burns (DE),Placed DE Brian Burns on IR/COVID-19 list.,12/27/2021
 Carolina,Madre Harper (CB),Reverted DB Madre Harper to the practice squad.,12/27/2021
 Carolina,Marquis Haynes (DE),Placed DE Marquis Haynes on IR/COVID-19 list.,12/27/2021
 Carolina,Frank Herron (DE),Reverted DE Frank Herron to the practice squad.,12/27/2021
 Carolina,Mike Horton (G),Reverted G Mike Horton to the practice squad.,12/27/2021
 Carolina,Phil Hoskins (DT),Placed DT Phil Hoskins on IR/COVID-19 list.,12/27/2021
 Carolina,Alex Kessman (K),Removed K Alex Kessman from the practice squad.,12/27/2021
 Carolina,Daviyon Nixon (DT),Placed DT Daviyon Nixon on IR/COVID-19 list.,12/27/2021
 Carolina,Matt Paradis (C),Placed C Matt Paradis on IR/COVID-19 list.,12/27/2021
 Carolina,C.J. Saunders (WR),Activated WR C.J. Saunders from the practice squad.,12/27/2021
 Carolina,C.J. Saunders (WR),Reverted WR C.J. Saunders to the practice squad.,12/27/2021
 Carolina,Stephen Sullivan (TE),Reverted TE Stephen Sullivan to the practice squad.,12/27/2021
 Carolina,Shaq Thompson (LB),Placed LB Shaq Thompson on IR/COVID-19 list.,12/27/2021
 Carolina,Brandon Zylstra (WR),Placed WR Brandon Zylstra on IR/COVID-19 list.,12/27/2021
 Chicago,Tashaun Gipson Sr. (DB),Activated DB Tashaun Gipson Sr. from the IR/COVID-19 list.,12/27/2021
 Chicago,Jesse James (TE),Activated TE Jesse James from the IR/COVID-19 list.,12/27/2021
 Chicago,Jaylon Johnson (DB),Activated DB Jaylon Johnson from the IR/COVID-19 list.,12/27/2021
 Chicago,Ledarius Mack (LB),Reverted LB Ledarius Mack to the practice squad.,12/27/2021
 Chicago,Ryan Nall (RB),Activated RB Ryan Nall from the IR/COVID-19 list.,12/27/2021
 Chicago,Dazz Newsome (WR),Reverted WR Dazz Newsome to the practice squad.,12/27/2021
 Chicago,Allen Robinson II (WR),Activated WR Allen Robinson II from the IR/COVID-19 list.,12/27/2021
 Chicago,Dee Virgin (DB),Reverted DB Dee Virgin to the practice squad.,12/27/2021
 Chicago,Nsimba Webster (WR),Reverted WR Nsimba Webster to the practice squad.,12/27/2021
 Chicago,Ryan Willis (QB),Reverted QB Ryan Willis to the practice squad.,12/27/2021
 Cincinnati,Brandon Allen (QB),Placed QB Brandon Allen on IR/COVID-19 list.,12/27/2021
 Cincinnati,Austin Calitro (LB),Signed LB Austin Calitro.,12/27/2021
 Cincinnati,Austin Calitro (LB),Reverted LB Austin Calitro to the practice squad.,12/27/2021
 Cincinnati,Mike Daniels (DT),Reverted DT Mike Daniels to the practice squad.,12/27/2021
 Cincinnati,Darius Phillips (CB),Placed DB Darius Phillips on IR/COVID-19 list.,12/27/2021
 Cincinnati,Noah Spence (DE),Reverted DE Noah Spence to the practice squad.,12/27/2021
 Cincinnati,Trent Taylor (WR),Reverted WR Trent Taylor to the practice squad.,12/27/2021
 Cleveland,Lawrence Cager (WR),Cut WR Lawrence Cager.,12/27/2021
 Cleveland,Jadeveon Clowney (DE),Activated DE Jadeveon Clowney from the IR/COVID-19 list.,12/27/2021
 Cleveland,Adrian Colbert (DB),Reverted DB Adrian Colbert to the practice squad.,12/27/2021
 Cleveland,Drew Forbes (G),Activated G Drew Forbes from the IR/COVID-19 list.,12/27/2021
 Cleveland,Miller Forristall (TE),Cut TE Miller Forristall.,12/27/2021
 Cleveland,Hjalte Froholdt (OL),Reverted G Hjalte Froholdt to the practice squad.,12/27/2021
 Cleveland,Ronnie Harrison Jr. (S),Activated DB Ronnie Harrison Jr. from the IR/COVID-19 list.,12/27/2021
 Cleveland,Troy Hill (CB),Activated DB Troy Hill from the IR/COVID-19 list.,12/27/2021
 Cleveland,Kareem Hunt (RB),Activated RB Kareem Hunt from the IR/COVID-19 list.,12/27/2021
 Cleveland,Joe Jackson (DE),Reverted DE Joe Jackson to the practice squad.,12/27/2021
 Cleveland,Elijah Lee (LB),Placed LB Elijah Lee on IR/COVID-19 list.,12/27/2021
 Cleveland,Malik McDowell (DT),Activated DT Malik McDowell from the IR/COVID-19 list.,12/27/2021
 Cleveland,Herb Miller (CB),Reverted DB Herb Miller to the practice squad.,12/27/2021
 Cleveland,Jovante Moffatt (S),Reverted DB Jovante Moffatt to the practice squad.,12/27/2021
 Cleveland,Nick Mullens (QB),Reverted QB Nick Mullens to the practice squad.,12/27/2021
 Cleveland,Chris Naggar (K),Reverted K Chris Naggar to the practice squad.,12/27/2021
 Cleveland,Alex Taylor (T),Placed T Alex Taylor on IR/COVID-19 list.,12/27/2021
 Cleveland,Curtis Weaver (DE),Reverted DE Curtis Weaver to the practice squad.,12/27/2021
 Cleveland,Jedrick Wills Jr. (T),Activated T Jedrick Wills Jr. from the IR/COVID-19 list.,12/27/2021
 Cleveland,Mack Wilson (LB),Activated LB Mack Wilson from the IR/COVID-19 list.,12/27/2021
 Dallas,Francis Bernard (LB),Placed LB Francis Bernard on IR/COVID-19 list.,12/27/2021
 Dallas,Kyron Brown (DB),Reverted DB Kyron Brown to the practice squad.,12/27/2021
 Dallas,Darian Thompson (S),Reverted DB Darian Thompson to the practice squad.,12/27/2021
 Denver,Quinn Bailey (T),Reverted T Quinn Bailey to the practice squad.,12/27/2021
 Denver,Andre Mintze (LB),Placed LB Andre Mintze on IR/COVID-19 list.,12/27/2021
 Denver,Javon Patterson (C),Removed C Javon Patterson from the practice squad.,12/27/2021
 Denver,Mike Purcell (NT),Placed NT Mike Purcell on IR/COVID-19 list.,12/27/2021
 Detroit,Tavante Beckett (LB),Reverted LB Tavante Beckett to the practice squad.,12/27/2021
 Detroit,Curtis Bolton (LB),Reverted LB Curtis Bolton to the practice squad.,12/27/2021
 Detroit,Jared Goff (QB),Activated QB Jared Goff from the IR/COVID-19 list.,12/27/2021
 Detroit,Josh Reynolds (WR),Placed WR Josh Reynolds on IR/COVID-19 list.,12/27/2021
 Detroit,Shane Zylstra (TE),Reverted TE Shane Zylstra to the practice squad.,12/27/2021
 Green Bay,Ben Braden (G),Placed G Ben Braden on IR/COVID-19 list.,12/27/2021
 Green Bay,Innis Gaines (S),Activated DB Innis Gaines from the practice squad.,12/27/2021
 Green Bay,Innis Gaines (S),Reverted DB Innis Gaines to the practice squad.,12/27/2021
 Green Bay,Tipa Galeai (LB),Placed DE Tipa Galeai on IR/COVID-19 list.,12/27/2021
 Green Bay,Shemar Jean-Charles (CB),Placed DB Shemar Jean-Charles on IR/COVID-19 list.,12/27/2021
 Green Bay,Kevin King (CB),Placed DB Kevin King on IR/COVID-19 list.,12/27/2021
 Green Bay,Amari Rodgers (WR),Placed WR Amari Rodgers on IR/COVID-19 list.,12/27/2021
 Green Bay,Ty Summers (LB),Placed LB Ty Summers on IR/COVID-19 list.,12/27/2021
 Green Bay,Cole Van Lanen (T),Reverted G Cole Van Lanen to the practice squad.,12/27/2021
 Houston,Jalen Camp (WR),Reverted WR Jalen Camp to the practice squad.,12/27/2021
 Houston,Michael Dwumfour (DL),Reverted DT Michael Dwumfour to the practice squad.,12/27/2021
 Houston,Dominik Eberle (K),Reverted K Dominik Eberle to the practice squad.,12/27/2021
 Houston,Jake Eldrenkamp (OL),Reverted G Jake Eldrenkamp to the practice squad.,12/27/2021
 Houston,Carson Green (OL),Reverted T Carson Green to the practice squad.,12/27/2021
 Houston,Demone Harris (DE),Reverted DE Demone Harris to the practice squad.,12/27/2021
 Houston,Neville Hewitt (LB),Placed LB Neville Hewitt on IR/COVID-19 list.,12/27/2021
 Houston,David Johnson (RB),Placed RB David Johnson on IR/COVID-19 list.,12/27/2021
 Houston,Paul Quessenberry (TE),Reverted TE Paul Quessenberry to the practice squad.,12/27/2021
 Houston,Jaylen Samuels (RB),Reverted RB Jaylen Samuels to the practice squad.,12/27/2021
 Houston,Jordan Steckler (OL),Reverted T Jordan Steckler to the practice squad.,12/27/2021
 Houston,Connor Strachan (LB),Reverted LB Connor Strachan to the practice squad.,12/27/2021
 Houston,Josh Watson (LB),Reverted LB Josh Watson to the practice squad.,12/27/2021
 Indianapolis,Jahleel Addae (DB),Placed DB Jahleel Addae on IR/COVID-19 list.,12/27/2021
 Indianapolis,T.J. Carrie (CB),Placed DB T.J. Carrie on IR/COVID-19 list.,12/27/2021
 Indianapolis,Anthony Chesley (CB),Reverted DB Anthony Chesley to the practice squad.,12/27/2021
 Indianapolis,Keke Coutee (WR),Reverted WR Keke Coutee to the practice squad.,12/27/2021
 Indianapolis,Malik Jefferson (LB),Placed LB Malik Jefferson on IR/COVID-19 list.,12/27/2021
 Indianapolis,Marlon Mack (RB),Placed RB Marlon Mack on IR/COVID-19 list.,12/27/2021
 Indianapolis,Carter O'Donnell (T),Reverted T Carter O'Donnell to the practice squad.,12/27/2021
 Indianapolis,Brian Poole (CB),Reverted DB Brian Poole to the practice squad.,12/27/2021
 Indianapolis,Will Redmond (S),Reverted DB Will Redmond to the practice squad.,12/27/2021
 Indianapolis,Braden Smith (T),Placed T Braden Smith on IR/COVID-19 list.,12/27/2021
 Indianapolis,Chris Williams (DT),Reverted DT Chris Williams to the practice squad.,12/27/2021
 Jacksonville,Dan Arnold (TE),Placed TE Dan Arnold on IR/COVID-19 list.,12/27/2021
 Jacksonville,Malcom Brown (DT),Placed DT Malcom Brown on IR/COVID-19 list.,12/27/2021
 Jacksonville,K'Lavon Chaisson (DE),Placed LB K'Lavon Chaisson on IR/COVID-19 list.,12/27/2021
 Jacksonville,Nathan Cottrell (RB),Reverted RB Nathan Cottrell to the practice squad.,12/27/2021
 Jacksonville,Luke Farrell (TE),Placed TE Luke Farrell on IR/COVID-19 list.,12/27/2021
 Jacksonville,Davon Hamilton (DT),Placed DT Davon Hamilton on IR/COVID-19 list.,12/27/2021
 Jacksonville,Josh Hammond (WR),Reverted WR Josh Hammond to the practice squad.,12/27/2021
 Jacksonville,Myles Jack (LB),Placed LB Myles Jack on IR/COVID-19 list.,12/27/2021
 Jacksonville,Jamir Jones (LB),Acquired LB Jamir Jones off waivers from the Los Angeles Rams.,12/27/2021
 Jacksonville,Brandon Linder (OL),Placed G Brandon Linder on IR/COVID-19 list.,12/27/2021
 Jacksonville,Chris Manhertz (TE),Placed TE Chris Manhertz on IR/COVID-19 list.,12/27/2021
 Jacksonville,Lerentee McCray (DE),Placed DE Lerentee McCray on IR/COVID-19 list.,12/27/2021
 Jacksonville,Andrew Norwell (OL),Placed G Andrew Norwell on IR/COVID-19 list.,12/27/2021
 Jacksonville,James Robinson (RB),Placed RB James Robinson on IR.,12/27/2021
 Jacksonville,Brandon Rusnak (CB),Reverted DB Brandon Rusnak to the practice squad.,12/27/2021
 Jacksonville,Mekhi Sargent (RB),Acquired RB Mekhi Sargent off waivers from the Los Angeles Rams.,12/27/2021
 Jacksonville,Jihad Ward (DE),Placed DE Jihad Ward on IR/COVID-19 list.,12/27/2021
 Kansas City,Dicaprio Bootle (DB),Reverted DB Dicaprio Bootle to the practice squad.,12/27/2021
 Kansas City,Joseph Charlton (P),Removed P Joseph Charlton from the practice squad.,12/27/2021
 Kansas City,Nakia Griffin-Stewart (TE),Reverted TE Nakia Griffin-Stewart to the practice squad.,12/27/2021
 Kansas City,Josh Jackson (CB),Reverted DB Josh Jackson to the practice squad.,12/27/2021
 Kansas City,Kyle Long (G),Activated G Kyle Long from the IR/COVID-19 list.,12/27/2021
 Kansas City,Johnny Townsend (P),Reverted P Johnny Townsend to the practice squad.,12/27/2021
 L.A. Chargers,Nasir Adderley (S),Placed DB Nasir Adderley on IR/COVID-19 list.,12/27/2021
 L.A. Chargers,Michael Bandy (WR),Reverted WR Michael Bandy to the practice squad.,12/27/2021
 L.A. Chargers,Darius Bradwell (RB),Reverted RB Darius Bradwell to the practice squad.,12/27/2021
 L.A. Chargers,Andrew Brown (DT),Reverted NT Andrew Brown to the practice squad.,12/27/2021
 L.A. Chargers,Tevaughn Campbell (CB),Activated DB Tevaughn Campbell from the IR/COVID-19 list.,12/27/2021
 L.A. Chargers,Michael Davis (CB),Placed DB Michael Davis on IR/COVID-19 list.,12/27/2021
 L.A. Chargers,Ben DeLuca (DB),Reverted DB Ben DeLuca to the practice squad.,12/27/2021
 L.A. Chargers,Emeke Egbule (LB),Reverted LB Emeke Egbule to the practice squad.,12/27/2021
 L.A. Chargers,Austin Ekeler (RB),Activated RB Austin Ekeler from the IR/COVID-19 list.,12/27/2021
 L.A. Chargers,Maurice Ffrench (WR),Reverted WR Maurice Ffrench to the practice squad.,12/27/2021
 L.A. Chargers,Joe Gaziano (DE),Activated DE Joe Gaziano from the IR/COVID-19 list.,12/27/2021
 L.A. Chargers,Alohi Gilman (S),Placed DB Alohi Gilman on IR/COVID-19 list.,12/27/2021
 L.A. Chargers,Chris Harris Jr. (CB),Placed DB Chris Harris Jr. on IR/COVID-19 list.,12/27/2021
 L.A. Chargers,Senio Kelemete (OL),Placed G Senio Kelemete on IR/COVID-19 list.,12/27/2021
 L.A. Chargers,Forrest Merrill (DL),Reverted DT Forrest Merrill to the practice squad.,12/27/2021
 L.A. Chargers,Jason Moore (WR),Reverted WR Jason Moore to the practice squad.,12/27/2021
 L.A. Rams,Grant Haley (DB),Reverted DB Grant Haley to the practice squad.,12/27/2021
 L.A. Rams,Roderick Johnson (T),Activated T Roderick Johnson from the practice squad.,12/27/2021
 L.A. Rams,Adam Pankey (T),Activated T Adam Pankey from the practice squad.,12/27/2021
 L.A. Rams,Brandon Powell (WR),Reverted WR Brandon Powell to the practice squad.,12/27/2021
 L.A. Rams,Jordan Scarlett (RB),Activated RB Jordan Scarlett from the practice squad.,12/27/2021
 Las Vegas,Lester Cotton Sr. (G),Reverted G Lester Cotton Sr. to the practice squad.,12/27/2021
 Las Vegas,Bryan Edwards (WR),Placed WR Bryan Edwards on IR/COVID-19 list.,12/27/2021
 Las Vegas,Kavon Frazier (DB),Reverted DB Kavon Frazier to the practice squad.,12/27/2021
 Las Vegas,Casey Hayward Jr. (CB),Placed DB Casey Hayward Jr. on IR/COVID-19 list.,12/27/2021
 Las Vegas,Tyron Johnson (WR),Reverted WR Tyron Johnson to the practice squad.,12/27/2021
 Las Vegas,Cory Littleton (LB),Placed LB Cory Littleton on IR/COVID-19 list.,12/27/2021
 Las Vegas,Marcus Mariota (QB),Placed QB Marcus Mariota on IR/COVID-19 list.,12/27/2021
 Las Vegas,Patrick Onwuasor (LB),Placed LB Patrick Onwuasor on IR/COVID-19 list.,12/27/2021
 Las Vegas,Denzel Perryman (LB),Placed LB Denzel Perryman on IR/COVID-19 list.,12/27/2021
 Las Vegas,Nathan Peterman (QB),Activated QB Nathan Peterman from the practice squad.,12/27/2021
 Las Vegas,Nathan Peterman (QB),Reverted QB Nathan Peterman to the practice squad.,12/27/2021
 Las Vegas,Darius Philon (DT),Placed DT Darius Philon on IR/COVID-19 list.,12/27/2021
 Las Vegas,Damion Square (NT),Reverted NT Damion Square to the practice squad.,12/27/2021
 Las Vegas,Dillon Stoner (WR),Activated WR Dillon Stoner from the practice squad.,12/27/2021
 Las Vegas,Dillon Stoner (WR),Reverted WR Dillon Stoner to the practice squad.,12/27/2021
 Las Vegas,K.J. Wright (LB),Placed LB K.J. Wright on IR/COVID-19 list.,12/27/2021
 Miami,Allen Hurns (WR),Placed WR Allen Hurns on IR/COVID-19 list.,12/27/2021
 Miami,Solomon Kindley (G),Placed G Solomon Kindley on IR/COVID-19 list.,12/27/2021
 Miami,Albert Wilson (WR),Placed WR Albert Wilson on IR/COVID-19 list.,12/27/2021
 Minnesota,Rashod Hill (T),Placed T Rashod Hill on IR/COVID-19 list.,12/27/2021
 Minnesota,Sean Mannion (QB),Placed QB Sean Mannion on IR/COVID-19 list.,12/27/2021
 Minnesota,Oli Udoh (T),Placed T Oli Udoh on IR/COVID-19 list.,12/27/2021
 N.Y. Giants,Evan Boehm (C),Removed C Evan Boehm from the practice squad.,12/27/2021
 N.Y. Giants,Pharoh Cooper (WR),Reverted WR Pharoh Cooper to the practice squad.,12/27/2021
 N.Y. Giants,Darqueze Dennard (CB),Reverted DB Darqueze Dennard to the practice squad.,12/27/2021
 N.Y. Giants,Julian Love (S),Placed DB Julian Love on IR/COVID-19 list.,12/27/2021
 N.Y. Giants,David Moa (DT),Reverted DT David Moa to the practice squad.,12/27/2021
 N.Y. Giants,David Sills V (WR),Reverted WR David Sills V to the practice squad.,12/27/2021
 N.Y. Giants,Isaiah Wilson (T),Reverted T Isaiah Wilson to the practice squad.,12/27/2021
 N.Y. Jets,Freedom Akinmoladun (DE),Activated DE Freedom Akinmoladun from the practice squad.,12/27/2021
 N.Y. Jets,Freedom Akinmoladun (DE),Reverted DE Freedom Akinmoladun to the practice squad.,12/27/2021
 N.Y. Jets,Elijah Benton (DB),Reverted DB Elijah Benton to the practice squad.,12/27/2021
 N.Y. Jets,Ronald Blair III (DL),Reverted DE Ronald Blair III to the practice squad.,12/27/2021
 N.Y. Jets,Daniel Brown (TE),Reverted TE Daniel Brown to the practice squad.,12/27/2021
 N.Y. Jets,Bryce Hall (DB),Placed DB Bryce Hall on IR/COVID-19 list.,12/27/2021
 N.Y. Jets,Tyler Kroft (TE),Placed TE Tyler Kroft on IR/COVID-19 list.,12/27/2021
 N.Y. Jets,Connor McGovern (G),Placed G Connor McGovern on IR.,12/27/2021
 N.Y. Jets,D.J. Montgomery (WR),Reverted WR D.J. Montgomery to the practice squad.,12/27/2021
 N.Y. Jets,LaRoy Reynolds (LB),Reverted LB LaRoy Reynolds to the practice squad.,12/27/2021
 N.Y. Jets,Trevon Wesco (TE),Placed TE Trevon Wesco on IR.,12/27/2021
 N.Y. Jets,Quinnen Williams (DL),Placed NT Quinnen Williams on IR/COVID-19 list.,12/27/2021
 N.Y. Jets,Isaiah Williams (G),Reverted G Isaiah Williams to the practice squad.,12/27/2021
 New England,Ja'Whaun Bentley (LB),Placed LB Ja'Whaun Bentley on IR/COVID-19 list.,12/27/2021
 New England,Daniel Ekuale (DT),Reverted DT Daniel Ekuale to the practice squad.,12/27/2021
 New England,Matt Judon (LB),Placed LB Matt Judon on IR/COVID-19 list.,12/27/2021
 New England,D'Angelo Ross (DB),Reverted DB D'Angelo Ross to the practice squad.,12/27/2021
 New England,Kristian Wilkerson (WR),Reverted WR Kristian Wilkerson to the practice squad.,12/27/2021
 New Orleans,Kwon Alexander (LB),Placed LB Kwon Alexander on IR/COVID-19 list.,12/27/2021
 New Orleans,Kawaan Baker (WR),Activated WR Kawaan Baker from the practice squad.,12/27/2021
 New Orleans,Blake Bortles (QB),Activated QB Blake Bortles from the practice squad.,12/27/2021
 New Orleans,Will Clapp (C),Activated C Will Clapp from the practice squad.,12/27/2021
 New Orleans,Sharif Finch (LB),Activated LB Sharif Finch from the practice squad.,12/27/2021
 New Orleans,Chase Hansen (LB),Activated LB Chase Hansen from the practice squad.,12/27/2021
 New Orleans,Chase Hansen (LB),Added LB Chase Hansen to the practice squad.,12/27/2021
 New Orleans,Braxton Hoyett (DT),Activated DT Braxton Hoyett from the practice squad.,12/27/2021
 New Orleans,Forrest Lamp (G),Activated G Forrest Lamp from the practice squad.,12/27/2021
 New Orleans,Justin March (LB),Activated LB Justin March from the practice squad.,12/27/2021
 New Orleans,Justin March (LB),Added LB Justin March to the practice squad.,12/27/2021
 New Orleans,Jordan Miller (DB),Activated DB Jordan Miller from the practice squad.,12/27/2021
 New Orleans,Kyle Murphy (OL),Activated T Kyle Murphy from the practice squad.,12/27/2021
 New Orleans,Kyle Murphy (OL),Added T Kyle Murphy to the practice squad.,12/27/2021
 New Orleans,Bryce Thompson (DB),Activated DB Bryce Thompson from the practice squad.,12/27/2021
 New Orleans,Ethan Westbrooks (DT),Activated DT Ethan Westbrooks from the practice squad.,12/27/2021
 New Orleans,Ethan Westbrooks (DT),Added DT Ethan Westbrooks to the practice squad.,12/27/2021
 New Orleans,Easop Winston (WR),Activated WR Easop Winston from the practice squad.,12/27/2021
 New Orleans,Ethan Wolf (TE),Activated TE Ethan Wolf from the practice squad.,12/27/2021
 New Orleans,Landon Young (T),Placed T Landon Young on IR/COVID-19 list.,12/27/2021
 Philadelphia,Derek Barnett (DE),Placed DE Derek Barnett on IR/COVID-19 list.,12/27/2021
 Philadelphia,Andre Chachere (DB),Placed DB Andre Chachere on IR/COVID-19 list.,12/27/2021
 Philadelphia,Tarron Jackson (DE),Placed DE Tarron Jackson on IR/COVID-19 list.,12/27/2021
 Philadelphia,Cameron Malveaux (DE),Reverted DE Cameron Malveaux to the practice squad.,12/27/2021
 Philadelphia,Jared Mayden (DB),Reverted DB Jared Mayden to the practice squad.,12/27/2021
 Pittsburgh,Rashaad Coward (OL),Reverted T Rashaad Coward to the practice squad.,12/27/2021
 Pittsburgh,Trey Edmunds (RB),Reverted RB Trey Edmunds to the practice squad.,12/27/2021
 Pittsburgh,Cameron Nizialek (P),Reverted P Cameron Nizialek to the practice squad.,12/27/2021
 Pittsburgh,John Simon (DB),Reverted DE John Simon to the practice squad.,12/27/2021
 San Francisco,Tyrell Adams (LB),Added LB Tyrell Adams to the practice squad.,12/27/2021
 San Francisco,Mitch Wishnowsky (P),Placed P Mitch Wishnowsky on IR/COVID-19 list.,12/27/2021
 Seattle,Myles Adams (DT),Reverted DT Myles Adams to the practice squad.,12/27/2021
 Seattle,L.J. Collier (DE),Placed DE L.J. Collier on IR/COVID-19 list.,12/27/2021
 Seattle,Josh Jones (S),Reverted DB Josh Jones to the practice squad.,12/27/2021
 Seattle,Tyler Mabry (TE),Reverted TE Tyler Mabry to the practice squad.,12/27/2021
 Seattle,Edmond Robinson (LB),Reverted LB Edmond Robinson to the practice squad.,12/27/2021
 Seattle,Cody Thompson (WR),Reverted WR Cody Thompson to the practice squad.,12/27/2021
 Tampa Bay,Kenjon Barner (RB),Reverted RB Kenjon Barner to the practice squad.,12/27/2021
 Tampa Bay,Mike Evans (WR),Placed WR Mike Evans on IR/COVID-19 list.,12/27/2021
 Tampa Bay,Cyril Grayson (WR),Reverted WR Cyril Grayson to the practice squad.,12/27/2021
 Tampa Bay,Sterling Hofrichter (P),Reverted P Sterling Hofrichter to the practice squad.,12/27/2021
 Tampa Bay,Breshad Perriman (WR),Activated WR Breshad Perriman from the IR/COVID-19 list.,12/27/2021
 Tampa Bay,Benning Potoa'e (DL),Reverted DE Benning Potoa'e to the practice squad.,12/27/2021
 Tennessee,Nate Brooks (DB),Removed DB Nate Brooks from the practice squad.,12/27/2021
 Tennessee,Bud Dupree (LB),Placed LB Bud Dupree on IR/COVID-19 list.,12/27/2021
 Tennessee,Caleb Farley (CB),Placed DB Caleb Farley on IR/COVID-19 list.,12/27/2021
 Tennessee,Julio Jones (WR),Placed WR Julio Jones on IR/COVID-19 list.,12/27/2021
 Tennessee,Elijah Molden (CB),Activated DB Elijah Molden from the IR/COVID-19 list.,12/27/2021
 Tennessee,Cedric Ogbuehi (T),Added T Cedric Ogbuehi to the practice squad.,12/27/2021
 Tennessee,Rodger Saffold III (G),Activated G Rodger Saffold III from the IR/COVID-19 list.,12/27/2021
 Tennessee,Buster Skrine (DB),Placed DB Buster Skrine on IR/COVID-19 list.,12/27/2021
 Tennessee,Nick Westbrook-Ikhine (WR),Placed WR Nick Westbrook-Ikhine on IR/COVID-19 list.,12/27/2021
 Washington,De'Jon Harris (LB),Reverted LB De'Jon Harris to the practice squad.,12/27/2021
 Washington,D.J. Hayden (CB),Reverted DB D.J. Hayden to the practice squad.,12/27/2021
 Washington,Cole Holcomb (LB),Activated LB Cole Holcomb from the IR/COVID-19 list.,12/27/2021
 Washington,Tyler Larsen (C),Activated C Tyler Larsen from the IR/COVID-19 list.,12/27/2021
 Washington,Jeremy Reaves (DB),Reverted DB Jeremy Reaves to the practice squad.,12/27/2021
 Washington,Brandon Scherff (G),Activated G Brandon Scherff from the IR/COVID-19 list.,12/27/2021
 Washington,Wendell Smallwood (RB),Reverted RB Wendell Smallwood to the practice squad.,12/27/2021
 Washington,Akeem Spence (DT),Cut DT Akeem Spence.,12/27/2021
 New England,Kyle Dugger (DB),"NFL fined DB Kyle Dugger $10,520 for fighting.",12/26/2021
 Arizona,Greg Dortch (WR),Activated WR Greg Dortch from the practice squad.,12/25/2021
 Arizona,Josh Mauro (DE),Activated DE Josh Mauro from the practice squad.,12/25/2021
 Arizona,Kevin Peterson (CB),Activated DB Kevin Peterson from the practice squad.,12/25/2021
 Arizona,Ryan Winslow (P),Activated P Ryan Winslow from the practice squad.,12/25/2021
 Atlanta,Daren Bates (LB),Activated LB Daren Bates from the IR/Designated for return list.,12/25/2021
